trade_no,coin,side,signal_time,actual_result,R,touch_age,adx_pct,adx_delta,volr,ema_dist,entry_score,V15_BASELINE_kept,V15.1-A_FRESH_PULLBACK_kept,V15.1-B_FRESH_PLUS_ADX_DETERIORATION_kept,V15.1-C_FRESH_PLUS_VOL120_kept,V15.1-D_FRESH_PLUS_EMA080_kept,V15.1-E_COMBINATION_kept
32,TAO/USDT:USDT,LONG,2026-09-19T13:45:00+00:00,SL,-1.0,1.0,0.815,7.881777212408998,1.06964250688448,1.0959633074079516,45.315800334927765,True,True,True,False,False,False
33,DYM/USDT:USDT,LONG,2026-09-19T19:15:00+00:00,SL,-1.0,1.0,0.965,6.767436371813922,8.961717909911311,0.8828026547435308,60.84237547570767,True,True,True,True,False,False
34,ENA/USDT:USDT,LONG,2026-09-19T19:15:00+00:00,TP,1.25,1.0,0.86,7.954612105733489,1.2179652856968013,0.508671188755394,55.51260227048911,True,True,True,True,True,True
35,IMX/USDT:USDT,LONG,2026-09-19T21:45:00+00:00,SL,-1.0,1.0,0.885,7.761699239429678,17.934090408215546,0.35564810778354977,55.68833208999382,True,True,True,True,True,True
36,BLUR/USDT:USDT,LONG,2026-09-19T22:00:00+00:00,SL,-1.0,1.0,0.595,4.283622045167377,14.716508966128014,0.9229288705612267,46.043151035934585,True,True,True,True,False,False
37,SUI/USDT:USDT,LONG,2026-09-20T00:30:00+00:00,SL,-1.0,1.0,0.945,6.953091249911097,8.820756414446555,1.1012992353263413,67.31875239234255,True,True,True,True,False,False
38,STRK/USDT:USDT,LONG,2026-09-20T06:45:00+00:00,TP,1.25,1.0,0.895,2.1831121638339184,1.2165499998433804,0.4756855326994301,50.20181790641901,True,True,True,True,True,True
39,ZK/USDT:USDT,LONG,2026-09-20T06:45:00+00:00,SL,-1.0,1.0,0.935,4.460949002453603,1.35117076827548,0.9412815877982511,57.76327011978599,True,True,True,True,False,False
40,AVAX/USDT:USDT,LONG,2026-09-20T08:00:00+00:00,TP,1.25,1.0,0.98,9.571618061726959,1.3268478763770466,0.04829605705481914,61.91400209828342,True,True,True,True,True,True
41,ARB/USDT:USDT,LONG,2026-09-20T08:00:00+00:00,SL,-1.0,1.0,0.955,-1.7012439201143934,1.3820267782458444,0.8678790564009314,55.30954096168868,True,True,False,True,False,False
42,POL/USDT:USDT,LONG,2026-09-20T11:45:00+00:00,SL,-1.0,1.0,0.745,0.7947949065641353,1.1719857691331885,0.5717801500393999,28.569876318174853,True,True,True,False,True,False
43,GRASS/USDT:USDT,LONG,2026-09-20T15:45:00+00:00,TP,1.25,1.0,0.955,2.893502601989219,1.0439853097454648,0.8269641142411187,66.40548453096723,True,True,True,False,False,False
44,AVAX/USDT:USDT,LONG,2026-09-20T19:30:00+00:00,TP,1.25,1.0,1.0,8.407229592119599,1.9477517625356038,0.9635457106181264,69.31103533932115,True,True,True,True,False,False
45,ARB/USDT:USDT,LONG,2026-09-20T19:30:00+00:00,TP,1.25,1.0,0.89,-2.4121792191833578,1.6386560037175593,0.5050849028375103,39.77882756959381,True,True,True,True,True,True
46,1INCH/USDT:USDT,LONG,2026-09-20T19:30:00+00:00,TP,1.25,1.0,0.735,-4.929070512606689,1.0977304528855671,1.1593378932942022,27.222140781727184,True,True,True,False,False,False
47,DOT/USDT:USDT,LONG,2026-09-21T00:15:00+00:00,TP,1.25,1.0,0.705,-0.0134381835930526,2.1030191054352017,0.7831149766187513,39.55544178398916,True,True,True,True,True,True
48,MEW/USDT:USDT,LONG,2026-09-21T03:00:00+00:00,TP,1.25,1.0,0.375,-2.993835341386877,1.0693442182249118,0.46920199580999744,34.274404216340045,True,True,True,False,True,False
49,IMX/USDT:USDT,LONG,2026-09-21T03:15:00+00:00,TP,1.25,1.0,0.86,-0.9899722731154839,1.0142747526897518,0.5184690149859537,44.14480377597341,True,True,True,False,True,False
50,GRASS/USDT:USDT,LONG,2026-09-21T03:15:00+00:00,TP,1.25,1.0,0.975,2.7881237067051394,1.03047671857583,0.42787901819795615,83.67936879764574,True,True,True,False,True,False
51,1INCH/USDT:USDT,LONG,2026-09-21T03:15:00+00:00,TP,1.25,1.0,0.715,-1.6930602360735918,8.42803200033656,1.072864188954306,20.85545767577037,True,True,True,True,False,False
52,YFI/USDT:USDT,LONG,2026-09-21T08:00:00+00:00,TP,1.25,1.0,0.39,-4.2357512455548445,1.0034931859119394,0.6289996946579073,25.29223706860733,True,True,True,False,True,False
53,XPL/USDT:USDT,LONG,2026-09-21T08:15:00+00:00,TP,1.25,1.0,0.75,1.7801802233587836,1.4789402639272207,0.6899583411472198,54.38594526763618,True,True,True,True,True,True
54,DYDX/USDT:USDT,LONG,2026-09-21T15:45:00+00:00,SL,-1.0,1.0,0.945,0.11460148055924435,2.131315859478997,0.3113219700331157,46.559934138083584,True,True,True,True,True,True
55,WIF/USDT:USDT,LONG,2026-09-21T17:00:00+00:00,TP,1.25,1.0,0.595,3.3380851854154514,2.2717628663124594,0.9765303538488912,53.97416893381271,True,True,True,True,False,False
56,PLUME/USDT:USDT,LONG,2026-09-21T17:30:00+00:00,TP,1.25,1.0,0.745,-4.335438042410239,1.1706372368538054,0.03941629778609143,20.602596059459728,True,True,True,False,True,False
57,BNB/USDT:USDT,LONG,2026-09-21T18:00:00+00:00,SL,-1.0,1.0,0.69,2.5612324700823805,2.709235926983134,0.8849934735927565,52.46133930401646,True,True,True,True,False,False
58,MEW/USDT:USDT,LONG,2026-09-21T18:00:00+00:00,TP,1.25,1.0,0.58,5.145083562364377,5.745064485306072,0.7997967776316843,60.87568243324175,True,True,True,True,True,True
59,SOL/USDT:USDT,LONG,2026-09-21T19:15:00+00:00,SL,-1.0,1.0,0.71,3.918889375508556,1.3081682773498668,0.6646107954407044,53.8641292304569,True,True,True,True,True,True
60,CRV/USDT:USDT,LONG,2026-09-21T23:45:00+00:00,SL,-1.0,1.0,0.655,5.201489631245963,14.303612141452762,0.8680845506130643,47.26523973623513,True,True,True,True,False,False
61,PLUME/USDT:USDT,LONG,2026-09-22T02:15:00+00:00,SL,-1.0,1.0,0.72,-3.1852760657879067,1.0229613905122399,0.2452320955150862,20.72385745344864,True,True,True,False,True,False
62,XLM/USDT:USDT,LONG,2026-09-22T03:15:00+00:00,SL,-1.0,1.0,0.855,6.047300540898533,4.8868973772846775,0.4246734363334149,68.61683590833536,True,True,True,True,True,True
63,SEI/USDT:USDT,LONG,2026-09-22T04:30:00+00:00,SL,-1.0,1.0,1.0,7.088719599876178,1.068697875805688,0.9228521892840351,57.79183178053313,True,True,True,False,False,False
