signal_time,coin,side,core,entry,sl,tp,entry_score,fresh_pullback,touch_age,adx_ok,adx_pct,adx_delta,vol_ok,volr,ema_ok,ema_dist_atr,e_pass
2026-09-25T18:30:00+00:00,STX/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,0.3256,0.31783310734256887,0.33530861582178895,21.827716290074495,True,1,True,0.585,-2.093081260614337,True,1.202275725540689,True,0.7047146957726536,True
2026-09-25T18:30:00+00:00,STX/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,0.3256,0.31783310734256887,0.33530861582178895,21.827716290074495,True,1,True,0.585,-2.093081260614337,True,1.202275725540689,True,0.7047146957726536,True
2026-09-25T21:30:00+00:00,RUNE/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,0.6468,0.6364362557958976,0.6597546802551282,33.36369227338014,True,1,True,0.75,-1.7020533077424531,True,1.5062792223221242,True,0.6387403678604551,True
2026-09-25T22:00:00+00:00,IMX/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,0.1597,0.1568599623336088,0.163250047082989,27.263658807257357,True,1,True,0.735,1.044855860308484,True,2.0384194242522566,True,0.08837824347488858,True
2026-09-25T22:00:00+00:00,ARB/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,0.22329,0.21870389253935937,0.22902263432580075,33.295795344993124,True,1,True,0.38,-0.7111301450953391,True,3.1725775496112103,True,0.10306818824207874,True
2026-09-25T22:00:00+00:00,ORDI/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,4.678,4.626927334118747,4.741840832351566,35.41836473919407,True,1,True,0.465,-2.7495774967886035,True,3.9442942425842453,True,0.016734589567762633,True
2026-09-26T01:30:00+00:00,TIA/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,0.4944,0.487123558698885,0.5034955516263937,37.75325809720013,True,1,True,0.715,-1.9562409120993678,True,2.7040302110606196,True,0.5375473181534722,True
2026-09-26T04:00:00+00:00,FIL/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,1.045,1.02711174380789,1.0673603202401374,43.37930956531156,True,1,True,0.42,0.10800347833375668,True,2.664194958616858,True,0.684824171204895,True
2026-09-26T07:30:00+00:00,TAO/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,313.36,308.15048327057843,319.87189591177696,42.77592890149289,True,1,True,0.615,1.9448097017953785,True,1.2022542338846096,True,0.7218297788876726,True
2026-09-26T09:45:00+00:00,STRK/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,0.04091,0.04040383846121282,0.04154270192348398,29.3845064466362,True,1,True,0.41,0.45834805363699616,True,2.1725753225583277,True,0.05342660096036813,True
2026-09-26T10:15:00+00:00,LINK/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,14.098,13.89597513271793,14.350531084102588,57.60207272058945,True,1,True,0.885,4.117020245451641,True,1.4705244008310796,True,0.7435912944040234,True
2026-09-26T12:00:00+00:00,LDO/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,0.4928,0.4876404650192937,0.4992494187258829,55.852456305464926,True,1,True,0.84,5.105082055623512,True,2.4871723926606077,True,0.259383791221071,True
2026-09-26T13:30:00+00:00,DOT/USDT:USDT,LONG,V15_PRECISION_V2_FINAL,1.226,1.2123883675508902,1.2430145405613873,47.99123049520726,True,1,True,0.435,2.8322547717800504,True,2.3213676215749786,True,0.08957564124679086,True
