variant,trades,wins,losses,winrate_pct,net_R,profit_factor,expectancy_R,max_dd_R,median_dist_ema_atr,median_move5_atr,median_MFE_R,median_MAE_R
LEGACY_BASELINE,89,59,30,66.29213483146067,43.75,2.4583333333333335,0.49157303370786515,-3.75,0.8236307441258005,0.6399563680793171,1.3025898331372,-0.4080407848111678
EARLY_RECLAIM_LEGACY_STOP,393,185,208,47.07379134860051,23.25,1.1117788461538463,0.05916030534351145,-11.75,0.688907233311261,0.8550834176665405,1.1149479975189878,-1.0098977421075461
EARLY_RECLAIM_STRUCTURE_STOP,439,206,233,46.924829157175395,24.5,1.1051502145922747,0.05580865603644647,-20.5,0.7022182240970634,0.8264365936374273,1.1393249130098337,-1.011023834379131
