removed_core,trades,wins,losses,wr_pct,net_R,pf,expectancy_R,max_dd_R
V15_ADX4H_CANDLE2H,49,33,16,67.35,25.25,2.5781,0.5153,-7.5
V15_EARLY_RECLAIM_V1,4,1,3,25.0,-1.75,0.4167,-0.4375,-2.0
